Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
09-Nov-08,Masters Cup,Hard,RR,3,5,Djokovic d. Nikolay Davydenko [RUS],7-6(3) 0-6 7-5,0.91,6.80%,3.40%,61.40%,75.90%,50.00%,4/8,01:43
09-Nov-08,Masters Cup,Hard,RR,3,7,Jo Wilfried Tsonga [FRA] d. Djokovic,1-6 7-5 6-1,0.87,3.90%,2.60%,64.50%,69.40%,48.10%,2/5,01:39
26-Oct-08,Paris Masters,Hard,R16,3,14,(13)Jo Wilfried Tsonga [FRA] d. (3)Djokovic,6-4 1-6 6-3,0.96,6.30%,1.30%,65.80%,63.50%,70.40%,1/9,01:54
26-Oct-08,Paris Masters,Hard,R32,3,26,(3)Djokovic d. Dmitry Tursunov [RUS],6-2 4-3 RET,1.61,20.50%,2.60%,66.70%,80.80%,53.80%,0/1,00:54
12-Oct-08,Madrid Masters,Hard,R16,3,21,(14)Ivo Karlovic [CRO] d. (3)Djokovic,7-6(4) 7-6(5),1.2,11.30%,0.00%,66.20%,83.00%,70.80%,1/1,01:42
12-Oct-08,Madrid Masters,Hard,R32,3,73,(3)Djokovic d. (Q)Victor Hanescu [ROU],6-7(8) 7-6(6) 3-1 RET,1.21,11.10%,2.20%,64.40%,75.90%,68.80%,1/2,02:20
22-Sep-08,Bangkok,Hard,F,3,20,(2)Jo Wilfried Tsonga [FRA] d. (1)Djokovic,7-6(4) 6-4,0.88,4.20%,1.40%,62.00%,70.50%,51.90%,1/3,01:41
22-Sep-08,Bangkok,Hard,SF,3,27,(1)Djokovic d. (3)Tomas Berdych [CZE],7-5 6-1,1.37,9.40%,3.10%,65.60%,73.80%,59.10%,3/3,01:21
22-Sep-08,Bangkok,Hard,QF,3,34,(1)Djokovic d. (6)Robin Soderling [SWE],6-4 7-5,1.22,13.20%,0.00%,70.60%,75.00%,55.00%,4/5,01:28
22-Sep-08,Bangkok,Hard,R16,3,141,(1)Djokovic d. (Q)Simon Stadler [GER],6-1 6-3,1.8,9.80%,2.00%,58.80%,63.30%,76.20%,1/2,01:06
19-Sep-08,Davis Cup WG PO: SVK vs SRB,Hard,RR,3,399,Djokovic d. Dominik Hrbaty [SVK],6-2 6-4 6-3,,,,,,,,
25-Aug-08,US Open,Hard,SF,3,2,(2)Roger Federer [SUI] d. (3)Djokovic,6-3 5-7 7-5 6-2,0.78,4.80%,4.00%,64.50%,71.30%,45.50%,7/12,02:44
