Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
24_Apr_2023,Madrid Masters,Clay,QF,2,12,(1)Alcaraz d. (10)Karen Khachanov [RUS],6-4 7-5, (ch),1.15,7.00%,1.40%,67.60%,77.10%,43.50%,5-Apr,1:50
24_Apr_2023,Madrid Masters,Clay,R16,2,16,(1)Alcaraz d. (13)Alexander Zverev [GER],6-1 6-2, (ch),2.56,12.20%,2.40%,58.50%,87.50%,70.60%,0/0,1:22
24_Apr_2023,Madrid Masters,Clay,R32,2,32,(1)Alcaraz d. (26)Grigor Dimitrov [BUL],6-2 7-5,,1.74,5.90%,0.00%,68.60%,74.30%,75.00%,2-Jan,1:30
24_Apr_2023,Madrid Masters,Clay,R64,2,41,(1)Alcaraz d. Emil Ruusuvuori [FIN],2-6 6-4 6-2, (ch),0.91,10.00%,1.00%,69.00%,63.80%,58.10%,11-Sep,2:16
17_Apr_2023,Barcelona,Clay,F,2,5,(1)Alcaraz d. (2)Stefanos Tsitsipas [GRE],6-3 6-4, (ch),1.9,6.30%,2.10%,77.10%,81.10%,72.70%,2-Jan,1:18
17_Apr_2023,Barcelona,Clay,SF,2,26,(1)Alcaraz d. (12)Daniel Evans [GBR],6-2 6-2, (ch),1.62,7.80%,0.00%,64.70%,69.70%,55.60%,4-Mar,1:20
17_Apr_2023,Barcelona,Clay,QF,2,38,(1)Alcaraz d. (10)Alejandro Davidovich Fokina [ESP],7-6(5) 6-4,,1.04,1.10%,3.40%,55.70%,67.30%,46.20%,11-Aug,2:10
17_Apr_2023,Barcelona,Clay,R16,2,25,(1)Alcaraz d. (13)Roberto Bautista Agut [ESP],6-3 7-5,,1.23,4.00%,4.00%,56.00%,61.90%,54.50%,7-Apr,1:53
17_Apr_2023,Barcelona,Clay,R32,2,79,(1)Alcaraz d. Nuno Borges [POR],6-3 6-1,,1.91,0.00%,4.70%,48.80%,76.20%,68.20%,2-Jan,1:03
20_Mar_2023,Miami Masters,Hard,SF,1,11,(10)Jannik Sinner [ITA] d. (1)Alcaraz,6-7(4) 6-4 6-2, (ch),0.81,4.40%,8.00%,54.90%,66.10%,41.20%,12-Jun,3:01
20_Mar_2023,Miami Masters,Hard,QF,1,10,(1)Alcaraz d. (9)Taylor Fritz [USA],6-4 6-2, (ch),1.52,11.10%,0.00%,68.50%,75.70%,64.70%,2-Feb,1:18
20_Mar_2023,Miami Masters,Hard,R16,1,19,(1)Alcaraz d. (16)Tommy Paul [USA],6-4 6-4, (ch),1.59,5.40%,5.40%,60.70%,79.40%,68.20%,1-Jan,1:36
20_Mar_2023,Miami Masters,Hard,R32,1,76,(1)Alcaraz d. Dusan Lajovic [SRB],6-0 7-6(5), (ch),1.39,4.60%,0.00%,75.40%,71.40%,43.80%,3-Feb,1:31
